"city_attack_id";"from_attack";"to_city"
"50000";"10240";"183"
"50001";"10241";"59"
"50002";"10242";"184"
"50003";"10243";"185"
"50004";"10244";"186"
"50005";"10245";"42"
"50006";"10246";"167"
"50007";"10247";"187"
"50008";"10248";"29"
"50009";"10249";"188"
"50010";"10250";"189"
"50011";"10251";"190"
"50012";"10252";"42"
"50013";"10253";"191"
"50014";"10254";"40"
"50015";"10255";"40"
"50016";"10256";"40"
"50017";"10257";"33"
"50018";"10258";"33"
"50019";"10259";"33"
"50020";"10260";"33"
"50021";"10261";"33"
"50022";"10262";"192"
"50023";"10263";"193"
"50024";"10264";"32"
"50025";"10265";"42"
"50026";"10266";"19"
"50027";"10267";"19"
"50028";"10268";"32"
"50029";"10269";"32"
"50030";"10270";"194"
"50031";"10271";"195"
"50032";"10272";"196"
"50033";"10273";"30"
"50034";"10274";"42"
"50035";"10275";"197"
"50036";"10276";"32"
"50037";"10277";"42"
"50038";"10278";"198"
"50039";"10279";"199"
"50040";"10280";"42"
"50041";"10281";"200"
"50042";"10282";"42"
"50043";"10283";"51"
"50044";"10284";"42"
"50045";"10285";"32"
"50046";"10286";"147"
"50047";"10287";"201"
"50048";"10288";"202"
"50049";"10289";"182"
"50050";"10290";"203"
"50051";"10291";"1"
"50052";"10292";"204"
"50053";"10293";"195"
"50054";"10294";"205"
"50055";"10295";"195"
"50056";"10296";"206"
"50057";"10297";"207"
"50058";"10298";"208"
"50059";"10299";"61"
"50060";"10300";"209"
"50061";"10301";"210"
"50062";"10302";"211"
"50063";"10303";"1"
"50064";"10304";"212"
"50065";"10305";"155"
"50066";"10306";"42"
"50067";"10307";"213"
"50068";"10308";"29"
"50069";"10309";"19"
"50070";"10310";"214"
"50071";"10311";"116"
"50072";"10312";"42"
"50073";"10313";"215"
"50074";"10314";"19"
"50075";"10315";"216"
"50076";"10316";"217"
"50077";"10317";"217"
"50078";"10318";"79"
"50079";"10319";"218"
"50080";"10320";"22"
"50081";"10321";"219"
"50082";"10322";"220"
"50083";"10323";"1"
"50084";"10324";"221"
"50085";"10325";"29"
"50086";"10326";"222"
"50087";"10327";"223"
"50088";"10328";"224"
"50089";"10329";"225"
"50090";"10330";"226"
"50091";"10331";"157"
"50092";"10332";"46"
"50093";"10333";"116"
"50094";"10334";"227"
"50095";"10335";"228"
"50096";"10336";"229"
"50097";"10337";"54"
"50098";"10338";"230"
"50099";"10339";"231"
"50100";"10340";"232"
"50101";"10341";"1"
"50102";"10342";"233"
"50103";"10343";"234"
"50104";"10344";"1"
"50105";"10345";"51"
"50106";"10346";"235"
"50107";"10347";"236"
"50108";"10348";"237"
"50109";"10349";"238"
"50110";"10350";"239"
"50111";"10351";"240"
"50112";"10352";"241"
"50113";"10353";"19"
"50114";"10354";"242"
"50115";"10355";"1"
"50116";"10356";"243"
"50117";"10357";"51"
"50118";"10358";"42"
"50119";"10359";"244"
"50120";"10360";"183"
"50121";"10361";"245"
"50122";"10362";"1"
"50123";"10363";"1"
"50124";"10364";"19"
"50125";"10365";"246"
"50126";"10366";"1"
"50127";"10367";"247"
"50128";"10368";"1"
"50129";"10369";"248"
"50130";"10370";"249"
"50131";"10371";"250"
"50132";"10372";"251"
"50133";"10373";"157"
"50134";"10374";"252"
"50135";"10375";"250"
"50136";"10376";"253"
"50137";"10377";"254"
"50138";"10378";"255"
"50139";"10379";"256"
"50140";"10380";"257"
"50141";"10381";"258"
"50142";"10382";"42"
"50143";"10383";"259"
"50144";"10384";"260"
"50145";"10385";"261"
"50146";"10386";"262"
"50147";"10387";"263"
"50148";"10388";"264"
"50149";"10389";"19"
"50150";"10390";"265"
"50151";"10391";"183"
"50152";"10392";"266"
"50153";"10393";"267"
"50154";"10394";"42"
"50155";"10395";"42"
"50156";"10000";"1"
"50157";"10001";"2"
"50158";"10002";"3"
"50159";"10003";"4"
"50160";"10004";"5"
"50161";"10005";"6"
"50162";"10006";"7"
"50163";"10007";"8"
"50164";"10008";"9"
"50165";"10009";"1"
"50166";"10010";"10"
"50167";"10011";"11"
"50168";"10012";"12"
"50169";"10013";"13"
"50170";"10014";"10"
"50171";"10015";"14"
"50172";"10016";"15"
"50173";"10017";"16"
"50174";"10018";"17"
"50175";"10019";"18"
"50176";"10020";"19"
"50177";"10021";"20"
"50178";"10022";"21"
"50179";"10023";"22"
"50180";"10024";"23"
"50181";"10025";"24"
"50182";"10026";"11"
"50183";"10027";"25"
"50184";"10028";"26"
"50185";"10029";"27"
"50186";"10030";"28"
"50187";"10031";"29"
"50188";"10032";"30"
"50189";"10033";"31"
"50190";"10034";"32"
"50191";"10035";"33"
"50192";"10036";"34"
"50193";"10037";"35"
"50194";"10038";"36"
"50195";"10039";"37"
"50196";"10040";"19"
"50197";"10041";"38"
"50198";"10042";"19"
"50199";"10043";"39"
"50200";"10044";"40"
"50201";"10045";"41"
"50202";"10046";"42"
"50203";"10047";"43"
"50204";"10048";"44"
"50205";"10049";"45"
"50206";"10050";"46"
"50207";"10051";"47"
"50208";"10052";"48"
"50209";"10053";"47"
"50210";"10054";"49"
"50211";"10055";"50"
"50212";"10056";"51"
"50213";"10057";"52"
"50214";"10058";"53"
"50215";"10059";"41"
"50216";"10060";"54"
"50217";"10061";"55"
"50218";"10062";"56"
"50219";"10063";"35"
"50220";"10064";"19"
"50221";"10065";"30"
"50222";"10066";"57"
"50223";"10067";"1"
"50224";"10068";"56"
"50225";"10069";"42"
"50226";"10070";"58"
"50227";"10071";"35"
"50228";"10072";"59"
"50229";"10073";"59"
"50230";"10074";"60"
"50231";"10075";"61"
"50232";"10076";"42"
"50233";"10077";"62"
"50234";"10078";"63"
"50235";"10079";"64"
"50236";"10080";"1"
"50237";"10081";"65"
"50238";"10082";"30"
"50239";"10083";"66"
"50240";"10084";"67"
"50241";"10085";"68"
"50242";"10086";"69"
"50243";"10087";"70"
"50244";"10088";"71"
"50245";"10089";"72"
"50246";"10090";"73"
"50247";"10091";"1"
"50248";"10092";"74"
"50249";"10093";"30"
"50250";"10094";"75"
"50251";"10095";"76"
"50252";"10096";"77"
"50253";"10097";"78"
"50254";"10098";"79"
"50255";"10099";"80"
"50256";"10100";"81"
"50257";"10101";"82"
"50258";"10102";"83"
"50259";"10103";"84"
"50260";"10104";"85"
"50261";"10105";"86"
"50262";"10106";"87"
"50263";"10107";"88"
"50264";"10108";"89"
"50265";"10109";"90"
"50266";"10110";"91"
"50267";"10111";"92"
"50268";"10112";"93"
"50269";"10113";"94"
"50270";"10114";"95"
"50271";"10115";"30"
"50272";"10116";"51"
"50273";"10117";"96"
"50274";"10118";"97"
"50275";"10119";"98"
"50276";"10120";"99"
"50277";"10121";"42"
"50278";"10122";"100"
"50279";"10123";"101"
"50280";"10124";"35"
"50281";"10125";"1"
"50282";"10126";"1"
"50283";"10127";"42"
"50284";"10128";"102"
"50285";"10129";"103"
"50286";"10130";"104"
"50287";"10131";"105"
"50288";"10132";"106"
"50289";"10133";"107"
"50290";"10134";"30"
"50291";"10135";"35"
"50292";"10136";"108"
"50293";"10137";"109"
"50294";"10138";"110"
"50295";"10139";"111"
"50296";"10140";"112"
"50297";"10141";"51"
"50298";"10142";"113"
"50299";"10143";"114"
"50300";"10144";"115"
"50301";"10145";"116"
"50302";"10146";"51"
"50303";"10147";"117"
"50304";"10148";"118"
"50305";"10149";"13"
"50306";"10150";"119"
"50307";"10151";"120"
"50308";"10152";"121"
"50309";"10153";"122"
"50310";"10154";"123"
"50311";"10155";"124"
"50312";"10156";"125"
"50313";"10157";"121"
"50314";"10158";"121"
"50315";"10159";"126"
"50316";"10160";"127"
"50317";"10161";"116"
"50318";"10162";"128"
"50319";"10163";"70"
"50320";"10164";"129"
"50321";"10165";"130"
"50322";"10166";"131"
"50323";"10167";"132"
"50324";"10168";"133"
"50325";"10169";"134"
"50326";"10170";"135"
"50327";"10171";"42"
"50328";"10172";"131"
"50329";"10173";"136"
"50330";"10174";"137"
"50331";"10175";"138"
"50332";"10176";"139"
"50333";"10177";"140"
"50334";"10178";"141"
"50335";"10179";"142"
"50336";"10180";"143"
"50337";"10181";"142"
"50338";"10182";"144"
"50339";"10183";"145"
"50340";"10184";"146"
"50341";"10185";"32"
"50342";"10186";"32"
"50343";"10187";"32"
"50344";"10188";"147"
"50345";"10189";"148"
"50346";"10190";"149"
"50347";"10191";"150"
"50348";"10192";"1"
"50349";"10193";"151"
"50350";"10194";"152"
"50351";"10195";"153"
"50352";"10196";"154"
"50353";"10197";"155"
"50354";"10198";"42"
"50355";"10199";"42"
"50356";"10200";"42"
"50357";"10201";"156"
"50358";"10202";"157"
"50359";"10203";"158"
"50360";"10204";"159"
"50361";"10205";"160"
"50362";"10206";"33"
"50363";"10207";"161"
"50364";"10208";"162"
"50365";"10209";"149"
"50366";"10210";"33"
"50367";"10211";"163"
"50368";"10212";"164"
"50369";"10213";"165"
"50370";"10214";"166"
"50371";"10215";"167"
"50372";"10216";"160"
"50373";"10217";"168"
"50374";"10218";"169"
"50375";"10219";"170"
"50376";"10220";"160"
"50377";"10221";"171"
"50378";"10222";"172"
"50379";"10223";"35"
"50380";"10224";"35"
"50381";"10225";"32"
"50382";"10226";"32"
"50383";"10227";"32"
"50384";"10228";"173"
"50385";"10229";"174"
"50386";"10230";"175"
"50387";"10231";"32"
"50388";"10232";"176"
"50389";"10233";"177"
"50390";"10234";"178"
"50391";"10235";"179"
"50392";"10236";"147"
"50393";"10237";"180"
"50394";"10238";"181"
"50395";"10239";"182"
